timestamp_s,T_air_free_C,T_air_controlled_C,T_set_heating_C,T_set_cooling_C,raw_heating_demand_W,raw_cooling_demand_W,heating_load_W,cooling_load_W,phi_air_W,phi_surface_W,phi_mass_W,air_balance_residual_W,T_mass_next_C,T_surface_C,H_ve_W_K,H_tr_op_W_K,H_tr_window_W_K,H_tr_em_W_K,H_tr_ms_W_K,H_tr_is_W_K
24231600.0,18.10697555814341,20.000000000000004,20.0,27.0,473.3424637403143,0.0,473.3424637403143,0.0,100.0,121.4721911797618,663.8007068133758,-3.410605131648481e-13,19.084534949083196,18.989648396769027,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24235200.0,18.54687528723967,20.000000000000004,20.0,27.0,363.3474647508096,0.0,363.3474647508096,0.0,100.0,119.03102879064109,650.4606550401554,-1.7053025658242404e-13,19.35454299259811,19.240291417607924,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24238800.0,18.924946258431262,20.0,20.0,27.0,268.8124756531485,0.0,268.8124756531485,0.0,100.0,110.88771371461173,605.9604426806626,-1.0800249583553523e-12,19.55857116577132,19.44306983113234,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24242400.0,19.98064879179895,20.000000000000007,20.0,27.0,4.838684785947057,0.0,4.838684785947057,0.0,100.0,272.2850559278577,1487.9373692383404,-6.767919558114954e-13,21.021105314616594,20.175597833316836,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24246000.0,22.137689297804574,22.137689297804574,20.0,27.0,0.0,0.0,0.0,0.0,100.0,442.70893678977075,2419.240999108684,-2.984279490192421e-13,24.00565468082211,22.432808804834696,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24249600.0,25.150264209155544,25.150264209155544,20.0,27.0,0.0,0.0,0.0,0.0,100.0,555.1509851650894,3033.6953072278557,1.7053025658242404e-13,27.54953938241252,25.624677144353416,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24253200.0,27.81275705289905,27.0,20.0,27.0,0.0,-203.22633841127114,0.0,203.22633841127114,100.0,551.4618910327482,3013.535768910767,-1.7337242752546445e-12,29.852770893973936,28.21454128763256,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24256800.0,26.17004257809942,26.17004257809942,20.0,27.0,0.0,0.0,0.0,0.0,100.0,-0.23588456159225693,-1.2890220979021159,-1.0800249583553523e-12,25.73346542055401,26.943219338840876,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24260400.0,22.365928507927507,22.365928507927507,20.0,27.0,0.0,0.0,0.0,0.0,100.0,-0.23588456159225693,-1.2890220979021159,5.115907697472721e-13,21.94357153878828,23.05949249443706,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24264000.0,18.91924032966006,19.999999999999996,20.0,27.0,270.23921813082995,0.0,270.23921813082995,0.0,100.0,-0.23588456159225693,-1.2890220979021159,5.684341886080801e-13,18.914091723686592,19.910599128286073,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24267600.0,16.38726651725424,19.999999999999993,20.0,27.0,903.3481711851812,0.0,903.3481711851812,0.0,100.0,-0.23588456159225693,-1.2890220979021159,3.410605131648481e-13,17.345711926821274,18.153720026681142,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24271200.0,15.355625258775857,19.999999999999996,20.0,27.0,1161.3055457373002,0.0,1161.3055457373002,0.0,100.0,-0.23588456159225693,-1.2890220979021159,2.2737367544323206e-13,16.721752884574183,17.353515968094957,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24274800.0,14.735600808625193,20.000000000000007,20.0,27.0,1316.3399416618029,0.0,1316.3399416618029,0.0,100.0,-0.23588456159225693,-1.2890220979021159,-1.1368683772161603e-12,16.33237242684404,16.953073310961813,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24278400.0,14.328054233391843,20.000000000000004,20.0,27.0,1418.2451763457673,0.0,1418.2451763457673,0.0,100.0,-0.23588456159225693,-1.2890220979021159,-6.821210263296962e-13,16.075493559296277,16.695101186741685,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24282000.0,14.113360422807872,19.999999999999996,20.0,27.0,1471.9284225863387,0.0,1471.9284225863387,0.0,100.0,-0.23588456159225693,-1.2890220979021159,0.0,15.942505835101775,16.546130029452936,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24285600.0,14.084322951343143,20.000000000000004,20.0,27.0,1479.1891150422846,0.0,1479.1891150422846,0.0,100.0,-0.23588456159225693,-1.2890220979021159,-2.2737367544323206e-13,15.928951574502621,16.501166402924067,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24289200.0,13.9908837962709,19.999999999999996,20.0,27.0,1502.553166183816,0.0,1502.553166183816,0.0,100.0,-0.23588456159225693,-1.2890220979021159,2.2737367544323206e-13,15.866640174206061,16.46114628098619,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24292800.0,13.659628564483024,20.000000000000007,20.0,27.0,1585.3820848572407,0.0,1585.3820848572407,0.0,100.0,-0.23588456159225693,-1.2890220979021159,-4.547473508864641e-13,15.646380642754236,16.315667430188594,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24296400.0,13.475540404268601,20.000000000000004,20.0,27.0,1631.412522380729,0.0,1631.412522380729,0.0,100.0,-0.23588456159225693,-1.2890220979021159,-2.2737367544323206e-13,15.53235096760208,16.18793283832632,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24300000.0,13.38023686407561,20.0,20.0,27.0,1655.242754849296,0.0,1655.242754849296,0.0,100.0,-0.23588456159225693,-1.2890220979021159,-4.547473508864641e-13,15.473317123619935,16.12180387709708,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24303600.0,13.511541404866435,19.99999999999999,20.0,27.0,1622.410629989214,0.0,1622.410629989214,0.0,100.0,-0.23588456159225693,-1.2890220979021159,4.547473508864641e-13,15.564402362911624,16.15831970809963,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24307200.0,14.287273811348257,19.999999999999996,20.0,27.0,1428.442142119513,0.0,1428.442142119513,0.0,100.0,61.45053614643704,335.8045074506064,2.2737367544323206e-13,16.373465622247277,16.587395987014336,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
24310800.0,15.516281103766174,20.000000000000007,20.0,27.0,1121.1342559216164,0.0,1121.1342559216164,0.0,100.0,78.40551836307439,428.4572296095134,-6.821210263296962e-13,17.24451521167899,17.30121118902871,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
