timestamp_s,outdoor_temperature_C,direct_normal_W_m2,diffuse_horizontal_W_m2,global_horizontal_W_m2,solar_altitude_deg,solar_azimuth_deg,south_window_direct_W_m2,south_window_diffuse_W_m2,window_solar_gain_W,wall_solar_gain_W,roof_solar_gain_W,opaque_solar_gain_W,total_zone_solar_gain_W
19843200.0,31.7,691.0,138.0,556.0,30.692838567485232,80.79554010124266,95.04738043005041,69.0,1475.4873973818965,154.92298991648983,155.1854517068747,310.1084416233645,1785.595839005261
19846800.0,31.7,709.0,76.0,385.0,41.80431888788567,68.94611937716287,189.863830039717,38.0,2063.7966961829015,122.19141270142205,177.19689498621693,299.388307687639,2363.1850038705406
19850400.0,27.8,553.0,53.0,190.0,51.90371574253003,53.36085910906381,203.61459935894538,26.5,2084.5460253614638,69.34660619613314,154.2298456752641,223.57645187139724,2308.122477232861
19854000.0,25.6,230.0,11.0,24.0,59.699418774314296,31.118281512625426,99.34498599669682,5.5,929.7140212467407,-4.432185363842198,48.31065656682533,43.878471202983135,973.5924924497239
19857600.0,22.2,0.0,0.0,0.0,62.952175101593944,1.0900855371566385,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19861200.0,22.8,0.0,0.0,0.0,60.092259282350284,-29.30351329444807,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19864800.0,23.3,0.0,0.0,0.0,52.52497309766055,-52.09994995129445,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19868400.0,21.7,0.0,0.0,0.0,42.53061646744382,-68.03574822576086,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19872000.0,21.1,0.0,0.0,0.0,31.462636465748155,-80.06619488562015,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19875600.0,20.6,0.0,0.0,0.0,19.74242382287641,-89.93285490820834,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19879200.0,20.0,0.0,0.0,0.0,8.27412254168882,260.65983276435935,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19882800.0,19.4,0.0,0.0,0.0,-2.887428296791874,251.15195557054045,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19886400.0,20.0,0.0,0.0,0.0,-13.404062853511013,240.83961078461348,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19890000.0,19.4,0.0,0.0,0.0,-22.83352517374513,229.0291179279146,0.0,0.0,-36.828,-33.370920000000005,-31.363200000000006,-64.73412000000002,-101.56212000000002
19893600.0,19.4,195.0,4.0,11.0,-30.560012270147592,215.07728441600437,0.0,2.0,-18.390456000000004,25.887201944973036,-29.842560000000006,-3.95535805502697,-22.345814055026974
19897200.0,22.2,584.0,62.0,197.0,-35.78672344711865,198.70241823581958,0.0,31.0,248.95393199999998,146.29844153978527,-7.793280000000006,138.50516153978526,387.4590935397853
19900800.0,26.7,625.0,109.0,372.0,-37.72271575903007,180.55375938075224,0.0,54.5,465.59507399999995,147.52461609267132,10.074239999999996,157.59885609267133,623.1939300926713
19904400.0,30.0,765.0,113.0,564.0,-36.00165472147556,162.34590860614836,0.0,56.5,484.03261799999996,213.04491086590508,11.594879999999996,224.63979086590507,708.672408865905
19908000.0,31.7,776.0,143.0,709.0,-30.951429929476667,145.8346990491523,0.0,71.5,622.314198,252.77686759467755,22.99967999999999,275.77654759467754,898.0907455946776
19911600.0,32.8,905.0,109.0,860.0,-23.350655141767543,131.73957735057445,0.0,54.5,465.59507399999995,290.4551752757411,10.074239999999996,300.5294152757411,766.1244892757411
19915200.0,34.4,878.0,143.0,916.0,-14.003739884504977,119.81769713155245,0.0,71.5,622.314198,293.1646295425651,22.99967999999999,316.1643095425651,938.4785075425651
19918800.0,34.4,545.0,306.0,787.0,-3.538264372119676,109.43533712905655,0.0,153.0,1373.644116,245.8383378412905,84.96575999999999,330.8040978412905,1704.4482138412905
19922400.0,34.4,520.0,310.0,744.0,7.594883504152113,99.89873373407842,0.0,155.0,1392.08166,221.00003536197076,112.61376836456358,333.61380372653434,1725.6954637265344
19926000.0,32.8,18.0,228.0,241.0,19.05350335544676,90.50653657469365,0.0,114.0,1014.1120080000001,62.40130018600648,57.547144654915016,119.9484448409215,1134.0604528409215
19929600.0,27.8,53.0,268.0,300.0,30.5236534909029,80.44589780742203,7.577803380373347,134.0,1268.3454896244912,85.23675537161327,80.75297264882911,165.98972802044239,1434.3352176449334
