factorial_id,heating_MWh_modelica,heating_MWh_native_vdi,cooling_MWh_modelica,cooling_MWh_native_vdi,D_MWh_norm_modelica,D_MWh_norm_native_vdi,delta_heating_MWh,delta_cooling_MWh,delta_D_MWh_norm
F39,5.66074831842565,5.3882039815302685,5.569448772932585,6.1289389804828955,0.5534539174192272,0.33187315571566495,-0.2725443368953817,0.5594902075503105,-0.22158076170356228
F40,5.247605870410508,4.987113882838142,5.86267641013998,6.4313988680812875,0.21756574830122574,0.00578364458385498,-0.26049198757236613,0.5687224579413073,-0.21178210371737077
F41,2.531942496379815,2.403692901428312,0.946714515798058,1.5314672861616048,2.4262115184178343,2.188720546598029,-0.128249594951503,0.5847527703635468,-0.23749097181980527
F42,2.17434309732705,2.058847922795316,1.1874191622113601,1.811149912342389,2.445706211588496,2.2196520717770647,-0.11549517453173408,0.623730750131029,-0.2260541398114313
F43,1.9962307853213677,1.8854429299580657,1.2364039322927742,1.8626283215492256,2.5025250151794713,2.288483605689627,-0.11078785536330193,0.6262243892564514,-0.21404140948984418
F44,1.667227858865711,1.570591373688956,1.5005918848424717,2.162163324245075,2.554208590007562,2.3546364283371086,-0.09663648517675494,0.6615714394026031,-0.19957216167045333
F45,2.361874924772203,2.2518157520848328,1.1309375711357417,1.764528268353527,2.3965932230567932,2.1469739046438403,-0.11005917268737031,0.6335906972177854,-0.24961931841295293
F46,1.983844815846528,1.8879537360567091,1.4093880190567125,2.0853362740551558,2.4313729586949684,2.1973850747433445,-0.09589107978981892,0.6759482549984432,-0.23398788395162384
F47,1.8303430319077463,1.737050799100067,1.448790842875785,2.1251208421975005,2.4902839588944086,2.2685304024829365,-0.09329223280767929,0.6763299993217156,-0.2217535564114721
F48,1.4881531467785132,1.406577299155357,1.7537679264968224,2.4644429471995988,2.555046854792435,2.355763017842354,-0.08157584762315628,0.7106750207027763,-0.19928383695008112
F49,5.961491495612085,5.701868084050153,4.538912542087892,5.091976868664553,0.8367945308861703,0.5868846211789854,-0.25962341156193247,0.5530643265766608,-0.24990990970718485
F50,5.56474404960366,5.31726222699528,4.790467867307068,5.3527852358383425,0.4889955373624913,0.27419693251648725,-0.24748182260838014,0.5623173685312741,-0.21479860484600405
F51,5.431023517573351,5.1815300212314845,4.9166648310993555,5.475530722574896,0.36950264798902394,0.1638455457166537,-0.24949349634186646,0.5588658914755404,-0.20565710227237025
F52,5.054931342006186,4.816069717537059,5.181581577684374,5.748399395521484,0.06091979024893124,0.0,-0.23886162446912707,0.5668178178371104,-0.06091979024893124
F53,6.208226785860591,5.926467002628555,5.226795039022622,5.781518340363196,0.9985583624882843,0.7694853679906944,-0.28175978323203577,0.5547233013405739,-0.2290729944975899
F54,5.77294768159356,5.503435804781318,5.507874815619304,6.07031864352742,0.6446729118646821,0.4255575648628594,-0.269511876812242,0.5624438279081163,-0.21911534700182272
F55,5.656290200122858,5.383689138332443,5.62537997817841,6.183137868820516,0.549829430994193,0.32820255148979044,-0.2726010617904153,0.5577578906421063,-0.22162687950440257
F56,5.243466482528051,4.982950149672759,5.91912613026482,6.486195116976769,0.21420039229922805,0.0023984956689096426,-0.26051633285529174,0.5670689867119494,-0.2118018966303184
F57,2.508720806560545,2.380435251037179,0.9786813933743256,1.5675041835545926,2.418093252356832,2.181281215201704,-0.12828555552336596,0.5888227901802671,-0.23681203715512833
F58,2.1544559032313257,2.038421962646959,1.2211757330653066,1.8480777718959411,2.4385741693613663,2.214244210474956,-0.11603394058436667,0.6269020388306346,-0.22432995888641027
F59,1.9786568493599288,1.8668624038010886,1.270591019671305,1.8999924067440448,2.4954132678993313,2.283329354445119,-0.11179444555884022,0.6294013870727397,-0.21208391345421207
F60,1.6531900059858546,1.5551567352358446,1.53777291555921,2.2002857094980532,2.5466589143519016,2.3504815578680223,-0.09803327075001,0.6625127939388433,-0.19617735648387935
F61,2.3497024804391313,2.2382758000629797,1.157741850349477,1.7939524960286277,2.38838300953785,2.140055586949292,-0.11142668037615167,0.6362106456791508,-0.2483274225885581
F62,1.97426490976259,1.8768354130072669,1.437899972394024,2.1153021640248486,2.4234490478797728,2.191816304378331,-0.09742949675532309,0.6774021916308246,-0.23163274350144158
F63,1.8217750982144336,1.7270466695590536,1.4774323738877997,2.1550210093224615,2.4825001730807856,2.263150211282622,-0.09472842865538,0.6775886354346619,-0.21934996179816357
F64,1.4819393364565028,1.3989877132058013,1.7845452616378135,2.494803686140201,2.547054185718763,2.351057320867609,-0.08295162325070149,0.7102584245023877,-0.1959968648511543
